gene_id	transcript_id(s)	3h_Sal-Brk-dark_2	3h_Sal-Brk-dark_3	3h_Sal-Brk-light_2	3h_Sal-Brk-light_3	3h_Ubi-Brk-light_2	3h_Ubi-Brk-light_3
FBgn0000547	FBtr0077465,FBtr0334265,FBtr0334266	35426.00	41204.00	49085.00	42378.00	51465.00	52235.00
FBgn0000551	FBtr0078408,FBtr0344634	1.00	4.00	5.00	5.00	31.00	7.00
FBgn0000552	FBtr0081688	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000557	FBtr0085832,FBtr0085833,FBtr0085834,FBtr0085835	24.00	25.00	265.00	14.00	57.00	371.00
FBgn0000559	FBtr0085911,FBtr0085912,FBtr0332966	326206.00	287502.00	350767.00	322135.00	368067.00	342478.00
FBgn0000560	FBtr0078437,FBtr0078438,FBtr0332810	163.00	140.00	184.00	191.00	303.00	244.00
FBgn0000562	FBtr0114586,FBtr0343272	7149.00	6006.00	7028.00	6604.00	6978.00	6865.00
FBgn0000564	FBtr0083444,FBtr0334930	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000565	FBtr0075552,FBtr0075553,FBtr0075554,FBtr0303531,FBtr0330176,FBtr0330177	1691.00	2269.00	2868.00	2297.00	3157.00	3426.00
FBgn0000566	FBtr0086710,FBtr0345422	3882.00	4084.00	4052.00	4091.00	3858.00	3787.00
FBgn0000567	FBtr0075202,FBtr0075203,FBtr0075204,FBtr0100411,FBtr0305796	4465.00	4333.00	5354.00	5041.00	5657.00	5940.00
FBgn0000568	FBtr0075148,FBtr0075149,FBtr0075150,FBtr0075151,FBtr0306813,FBtr0306814,FBtr0347013	6391.00	5947.00	9057.00	8186.00	10166.00	12226.00
FBgn0000575	FBtr0072578	18103.00	18590.00	19961.00	20832.00	18863.00	19426.00
FBgn0000576	FBtr0082863	1933.00	2391.00	2769.00	2689.00	2735.00	3264.00
FBgn0000577	FBtr0088095,FBtr0088096	3808.00	4184.00	5235.00	4620.00	4665.00	5032.00
FBgn0000578	FBtr0086582,FBtr0086583,FBtr0086584,FBtr0100174,FBtr0100176,FBtr0114623,FBtr0340450	5763.00	5742.00	6986.00	6429.00	6775.00	7606.00
FBgn0000579	FBtr0077905,FBtr0077906,FBtr0077907,FBtr0077908,FBtr0077909,FBtr0302115	30114.00	27011.00	30915.00	30475.00	30836.00	30229.00
FBgn0000581	FBtr0088139,FBtr0088140,FBtr0330621,FBtr0330622,FBtr0330623	16344.00	14136.00	16285.00	15372.00	15786.00	16292.00
FBgn0000588	FBtr0080325	1459.00	1629.00	1348.00	1519.00	1274.00	1217.00
FBgn0000591	FBtr0084961	875.00	1185.00	1414.00	956.00	1528.00	1595.00
FBgn0000592	FBtr0076003,FBtr0333383	5.00	0.00	0.00	0.00	0.00	1.00
FBgn0000594	FBtr0076004	0.00	2.00	0.00	0.00	15.00	0.00
FBgn0000606	FBtr0088390	0.00	0.00	1.00	0.00	0.00	0.00
FBgn0000611	FBtr0074135,FBtr0074137,FBtr0333322,FBtr0333323	13328.00	12254.00	13971.00	14002.00	14172.00	13715.00
FBgn0000615	FBtr0086242,FBtr0086243,FBtr0086244,FBtr0302285	90.00	54.00	61.00	73.00	61.00	66.00
FBgn0000617	FBtr0074463	1903.00	2321.00	2120.00	2396.00	2056.00	1940.00
FBgn0000618	FBtr0073540	1041.00	1121.00	1224.00	1201.00	1307.00	1249.00
FBgn0000625	FBtr0075979,FBtr0100170,FBtr0339921	1792.00	2599.00	3164.00	2686.00	2539.00	3132.00
FBgn0000629	FBtr0076279,FBtr0273338,FBtr0334067	2870.00	2610.00	2992.00	2915.00	2840.00	2903.00
FBgn0000633	FBtr0087625,FBtr0339940	3.00	1.00	2.00	0.00	3.00	1.00
FBgn0000635	FBtr0070665,FBtr0070666,FBtr0070667,FBtr0336882,FBtr0336884,FBtr0343523,FBtr0343524	15223.00	16273.00	18298.00	17305.00	20208.00	18627.00
FBgn0000636	FBtr0081051,FBtr0081052,FBtr0112804,FBtr0112805,FBtr0301391,FBtr0340580,FBtr0344782	37753.00	53851.00	53346.00	52303.00	56535.00	53835.00
FBgn0000639	FBtr0075749,FBtr0075750,FBtr0339515	1.00	0.00	5.00	2.00	18.00	9.00
FBgn0000640	FBtr0079808,FBtr0343428,FBtr0343429	2418.00	62.00	196.00	318.00	112.00	43.00
FBgn0000644	FBtr0070542	114.00	133.00	169.00	134.00	180.00	190.00
FBgn0000658	FBtr0086754	17692.00	23788.00	21823.00	22406.00	20509.00	21493.00
FBgn0000659	FBtr0085321,FBtr0300259,FBtr0330333,FBtr0345227,FBtr0346765	0.00	0.00	0.00	0.00	0.00	11.00
FBgn0000662	FBtr0087647,FBtr0087648,FBtr0304696,FBtr0304697	6001.00	6849.00	7081.00	7187.00	6972.00	7245.00
FBgn0000667	FBtr0070343,FBtr0070344,FBtr0070345,FBtr0303048,FBtr0310657,FBtr0310658,FBtr0310659,FBtr0333801,FBtr0333802	17369.51	14626.84	16645.15	17100.88	16185.63	16527.33
FBgn0000709	FBtr0077192	3845.00	3460.00	3814.00	3856.00	3556.00	3721.00
FBgn0000711	FBtr0071446,FBtr0071447,FBtr0333305,FBtr0474146	3423.00	3736.00	3609.00	3894.00	3592.00	3482.00
FBgn0000715	FBtr0088383	3.00	0.00	1.00	1.00	0.00	2.00
FBgn0000719	FBtr0077342,FBtr0100538,FBtr0333179,FBtr0333180,FBtr0333181,FBtr0333182	412.00	427.00	591.00	566.00	563.00	641.00
